Wall time,Step,Value
1627653963.2499564,362940,1440.0
1627654365.7232945,363820,1440.0
1627654582.2936802,364300,1440.0
1627654781.8229961,364740,1440.0
1627655037.4722342,365300,1440.0
1627655529.4249287,366380,1440.0
1627655557.2667627,366440,1440.0
1627655934.866757,367260,1440.0
1627656007.3849938,367420,1440.0
1627656745.0418022,369040,1440.0
1627656754.566466,369060,1440.0
1627657549.7943153,370800,1440.0
1627657623.0014906,370960,1440.0
1627658031.8378875,371860,1440.0
1627658578.4905076,373060,1440.0
1627659131.7412689,374280,1440.0
1627659195.1340244,374420,1440.0
1627659460.9144373,375000,1440.0
1627659797.6789062,375740,1440.0
1627659952.3808627,376080,1440.0
1627660334.7293644,376920,1440.0
1627660771.4674656,377880,1440.0
1627661135.3751276,378680,1440.0
1627661363.6597013,379180,1440.0
1627661538.1023588,379560,1440.0
1627661583.6929424,379660,1440.0
1627661793.9831567,380120,1440.0
1627661838.5671647,380220,1440.0
1627661884.6803403,380320,1440.0
1627661991.8698027,380560,1440.0
1627662183.6965084,380980,1440.0
1627662612.071002,381920,1440.0
1627662803.93361,382340,1440.0
1627663140.5821776,383080,1440.0
1627663285.7710094,383400,1440.0
1627663814.0711067,384560,1440.0
1627664218.795803,385440,1440.0
1627664255.740727,385520,1440.0
1627664483.8980181,386020,1440.0
1627664719.867702,386540,1440.0
1627665483.857507,388220,1440.0
1627665529.6562138,388320,1440.0
1627665985.0467649,389320,1440.0
1627666167.2602046,389720,1440.0
1627666304.096863,390020,1440.0
1627666330.911555,390080,1440.0
1627666529.8404846,390520,1440.0
1627666584.2454846,390640,1440.0
1627666794.4634035,391100,1440.0
1627667021.8619416,391600,1440.0
1627667039.8762138,391640,1440.0
1627667160.1825926,391900,1440.0
1627667522.2122834,392700,1440.0
1627667577.4143112,392820,1440.0
1627667705.0053144,393100,1440.0
1627667805.103431,393320,1440.0
1627667886.4390867,393500,1440.0
1627668305.7514033,394420,1440.0
1627668368.0163987,394560,1440.0
1627668403.8929896,394640,1440.0
1627668457.5198455,394760,1440.0
1627668990.890121,395940,1440.0
1627669237.3411398,396480,1440.0
1627669447.6465974,396940,1440.0
1627670087.295161,398340,1440.0
1627670178.5642216,398540,1440.0
1627670287.4334745,398780,1440.0
1627670589.945635,399440,1440.0
1627670663.6892989,399600,1440.0
1627670745.186376,399780,1440.0
1627670809.4752574,399920,1440.0
1627671176.714285,400720,1440.0
1627671294.5514774,400980,1440.0
1627671339.4953744,401080,1440.0
1627671393.1591413,401200,1440.0
1627671420.1137266,401260,1440.0
1627672114.12764,402780,1440.0
1627672123.1114433,402800,1440.0
1627672140.6670253,402840,1440.0
1627672521.4497077,403680,1440.0
1627672549.031037,403740,1440.0
1627672832.7027907,404360,1440.0
1627673081.989048,404900,1440.0
1627673109.0027661,404960,1440.0
1627673154.440828,405060,1440.0
1627673529.9900317,405880,1440.0
1627673666.9961,406180,1440.0
1627673801.822595,406480,1440.0
1627673884.230083,406660,1440.0
1627673902.5993142,406700,1440.0
1627674076.056681,407080,1440.0
1627674257.4592607,407480,1440.0
1627674349.4837565,407680,1440.0
1627674477.2228405,407960,1440.0
1627674852.4543934,408780,1440.0
1627674870.822853,408820,1440.0
1627675069.7675989,409260,1440.0
1627675278.3527408,409720,1440.0
1627675654.9303088,410540,1440.0
1627675775.456686,410800,1440.0
1627675784.5346324,410820,1440.0
1627675958.7314727,411200,1440.0
1627675967.5539298,411220,1440.0
1627675985.6447604,411260,1440.0
1627676029.793112,411360,1440.0
1627676127.8953364,411580,1440.0
1627676791.362771,413040,1440.0
1627677128.373361,413780,1440.0
1627677137.452464,413800,1440.0
1627677291.282269,414140,1440.0
1627677327.1656907,414220,1440.0
1627677663.8107789,414960,1440.0
1627677944.9262345,415580,1440.0
1627677954.291654,415600,1440.0
1627677981.6398637,415660,1440.0
1627677990.738081,415680,1440.0
1627678301.1941292,416360,1440.0
1627678345.615896,416460,1440.0
1627678427.6459255,416640,1440.0
1627678645.9867084,417120,1440.0
1627678944.320471,417780,1440.0
1627679163.905305,418260,1440.0
1627679173.0051181,418280,1440.0
1627679500.1205087,419000,1440.0
1627679842.829612,419760,1440.0
1627680208.97747,420560,1440.0
1627680264.1322346,420680,1440.0
1627680282.6040053,420720,1440.0
1627680291.8570428,420740,1440.0
1627680575.4768875,421360,1440.0
1627680657.3454676,421540,1440.0
1627680693.7009532,421620,1440.0
1627681275.8536208,422900,1440.0
1627681868.519817,424200,1440.0
1627682077.6386268,424660,1440.0
1627682222.3520808,424980,1440.0
1627682840.6900306,426340,1440.0
1627682868.3654022,426400,1440.0
1627682913.2595255,426500,1440.0
1627683527.9013023,427840,1440.0
1627683692.196745,428200,1440.0
1627684376.8803694,429700,1440.0
1627684734.6036978,430480,1440.0
1627684743.5011332,430500,1440.0
1627685317.6348295,431760,1440.0
1627685436.3258605,432020,1440.0
1627685536.4089475,432240,1440.0
1627685890.6668465,433020,1440.0
1627686018.7531009,433300,1440.0
1627686174.3378518,433640,1440.0
1627686294.0877047,433900,1440.0
1627686559.791983,434480,1440.0
1627686569.0079908,434500,1440.0
